Date,Open,High,Low,Close,Adj Close,Volume,Open_24hr_Change,High_24hr_Change,Low_24hr_Change,Close_24hr_Change,Gain/Loss_Close
1/23/81,0.146763,0.147321,0.146205,0.146205,0.114768,11222400,0.146763,0.147321,0.146205,0.146205,Gain
1/26/81,0.144531,0.144531,0.143973,0.143973,0.113016,24640000,-0.002232,-0.00279,-0.002232,-0.002232,Loss
1/27/81,0.143973,0.143973,0.142857,0.142857,0.11214,23699200,-0.000558,-0.000558,-0.001116,-0.001116,Loss
1/28/81,0.138951,0.138951,0.138393,0.138393,0.108636,28156800,-0.005022,-0.005022,-0.004464,-0.004464,Loss
1/29/81,0.133929,0.133929,0.133371,0.133371,0.104694,43904000,-0.005022,-0.005022,-0.005022,-0.005022,Loss
1/30/81,0.127232,0.127232,0.126116,0.126116,0.098999,46188800,-0.006697,-0.006697,-0.007255,-0.007255,Loss
2/2/81,0.11942,0.11942,0.118862,0.118862,0.093304,23766400,-0.007812,-0.007812,-0.007254,-0.007254,Loss
2/3/81,0.123326,0.123884,0.123326,0.123326,0.096809,19152000,0.003906,0.004464,0.004464,0.004464,Gain
2/4/81,0.12779,0.128348,0.12779,0.12779,0.100313,27865600,0.004464,0.004464,0.004464,0.004464,Gain
2/5/81,0.12779,0.128906,0.12779,0.12779,0.100313,7929600,0,0.000558,0,0,Gain
2/6/81,0.128348,0.128906,0.128348,0.128348,0.100751,13865600,0.000558,0,0.000558,0.000558,Gain
2/9/81,0.122768,0.122768,0.121652,0.121652,0.095495,16755200,-0.00558,-0.006138,-0.006696,-0.006696,Loss
2/10/81,0.121652,0.12221,0.121652,0.121652,0.095495,18345600,-0.001116,-0.000558,0,0,Gain
2/11/81,0.118304,0.118304,0.117746,0.117746,0.092428,13843200,-0.003348,-0.003906,-0.003906,-0.003906,Loss
2/12/81,0.117188,0.117188,0.116629,0.116629,0.091552,14560000,-0.001116,-0.001116,-0.001117,-0.001117,Loss
2/13/81,0.114955,0.114955,0.113839,0.113839,0.089362,11155200,-0.002233,-0.002233,-0.00279,-0.00279,Loss
2/17/81,0.116629,0.117188,0.116629,0.116629,0.091552,12275200,0.001674,0.002233,0.00279,0.00279,Gain
2/18/81,0.121652,0.122768,0.121652,0.121652,0.095495,19241600,0.005023,0.00558,0.005023,0.005023,Gain
2/19/81,0.114955,0.114955,0.114397,0.114397,0.0898,22310400,-0.006697,-0.007813,-0.007255,-0.007255,Loss
2/20/81,0.108817,0.108817,0.108259,0.108259,0.084981,24371200,-0.006138,-0.006138,-0.006138,-0.006138,Loss
2/23/81,0.109933,0.110491,0.109933,0.109933,0.086295,14112000,0.001116,0.001674,0.001674,0.001674,Gain
2/24/81,0.107143,0.107143,0.106027,0.106027,0.083229,16979200,-0.00279,-0.003348,-0.003906,-0.003906,Loss
2/25/81,0.112723,0.113281,0.112723,0.112723,0.088485,19488000,0.00558,0.006138,0.006696,0.006696,Gain
2/26/81,0.114397,0.114955,0.114397,0.114397,0.0898,10841600,0.001674,0.001674,0.001674,0.001674,Gain
2/27/81,0.118304,0.11942,0.118304,0.118304,0.092866,14761600,0.003907,0.004465,0.003907,0.003907,Gain
3/2/81,0.118862,0.11942,0.118862,0.118862,0.093304,11760000,0.000558,0,0.000558,0.000558,Gain
3/3/81,0.117746,0.117746,0.117188,0.117188,0.09199,16172800,-0.001116,-0.001674,-0.001674,-0.001674,Loss
3/4/81,0.116629,0.116629,0.116071,0.116071,0.091114,13708800,-0.001117,-0.001117,-0.001117,-0.001117,Loss
3/5/81,0.116071,0.116071,0.115513,0.115513,0.090676,5376000,-0.000558,-0.000558,-0.000558,-0.000558,Loss
3/6/81,0.115513,0.115513,0.114397,0.114397,0.0898,11603200,-0.000558,-0.000558,-0.001116,-0.001116,Loss
3/9/81,0.106027,0.106027,0.105469,0.105469,0.082791,15321600,-0.009486,-0.009486,-0.008928,-0.008928,Loss